"Dataset","Graph","R2","Mode"
"Entire Dataset 582","Thickness vs. Fresh Weight",0.341,"Double Linear"
"Entire Dataset 582","Diameter / Width vs. Fresh Weight",0.04,"Double Log"
"Entire Dataset 582","Diameter / Width vs. Fresh Weight",0.057,"Double Linear"
"Entire Dataset 582","Width vs. Height",0.176,"Double Log"
"Entire Dataset 582","Width vs. Height",0.146,"Double Linear"
"Entire Dataset 582","Width vs. Diameter",0.39,"Double Log"
"Entire Dataset 582","Width vs. Diameter",0.361,"Double Linear"
"Entire Dataset 582","Width vs. Thickness",0.105,"Double Log"
"Entire Dataset 582","Width vs. Thickness",0.11,"Double Linear"
"Entire Dataset 582","Height vs. Diameter",0.727,"Double Log"
"Entire Dataset 582","Height vs. Diameter",0.712,"Double Linear"
"Entire Dataset 582","Height vs. Thickness",0.088,"Double Log"
"Entire Dataset 582","Height vs. Thickness",0.093,"Double Linear"
"Entire Dataset 582","Diameter vs. Thickness",0.149,"Double Log"
"Entire Dataset 582","Diameter vs. Thickness",0.159,"Double Linear"
"Entire Dataset 584","Width vs. Fresh Weight",0.735,"Double Log"
"Entire Dataset 584","Width vs. Fresh Weight",0.739,"Double Linear"
"Entire Dataset 584","Height vs. Fresh Weight",0.759,"Double Log"
"Entire Dataset 584","Height vs. Fresh Weight",0.718,"Double Linear"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.497,"Double Log"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.281,"Double Linear"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.14,"Double Log"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.093,"Double Linear"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.04,"Double Log"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.03,"Double Linear"
"Entire Dataset 584","Width vs. Height",0.458,"Double Log"
"Entire Dataset 584","Width vs. Height",0.46,"Double Linear"
"Entire Dataset 584","Width vs. Diameter",0.403,"Double Log"
"Entire Dataset 584","Width vs. Diameter",0.258,"Double Linear"
"Entire Dataset 584","Width vs. Thickness",0.013,"Double Log"
"Entire Dataset 584","Width vs. Thickness",0.005,"Double Linear"
"Entire Dataset 584","Height vs. Diameter",0.377,"Double Log"
"Entire Dataset 584","Height vs. Diameter",0.181,"Double Linear"
"Entire Dataset 584","Height vs. Thickness",0.019,"Double Log"
"Entire Dataset 584","Height vs. Thickness",0.015,"Double Linear"
"Entire Dataset 584","Diameter vs. Thickness",0.048,"Double Log"
"Entire Dataset 584","Diameter vs. Thickness",0.043,"Double Linear"
"Entire Dataset 585","Width vs. Fresh Weight",0.482,"Double Log"
"Entire Dataset 585","Width vs. Fresh Weight",0.509,"Double Linear"
"Entire Dataset 585","Height vs. Fresh Weight",0.595,"Double Log"
"Entire Dataset 585","Height vs. Fresh Weight",0.646,"Double Linear"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.201,"Double Log"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.412,"Double Linear"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.403,"Double Log"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.325,"Double Linear"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.036,"Double Log"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.068,"Double Linear"
"Entire Dataset 585","Width vs. Height",0.506,"Double Log"
"Entire Dataset 585","Width vs. Height",0.467,"Double Linear"
"Entire Dataset 585","Width vs. Diameter",0.308,"Double Log"
"Entire Dataset 585","Width vs. Diameter",0.399,"Double Linear"
"Entire Dataset 585","Width vs. Thickness",0.03,"Double Log"
"Entire Dataset 585","Width vs. Thickness",0.026,"Double Linear"
"Entire Dataset 585","Height vs. Diameter",0.298,"Double Log"
"Entire Dataset 585","Height vs. Diameter",0.512,"Double Linear"
"Entire Dataset 585","Height vs. Thickness",0.029,"Double Log"
"Entire Dataset 585","Height vs. Thickness",0.041,"Double Linear"
"Entire Dataset 585","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 585","Diameter vs. Thickness",0.006,"Double Linear"
"Entire Dataset 839","Width vs. Fresh Weight",0.512,"Double Log"
"Entire Dataset 839","Width vs. Fresh Weight",0.359,"Double Linear"
"Entire Dataset 839","Height vs. Fresh Weight",0.474,"Double Log"
"Entire Dataset 839","Height vs. Fresh Weight",0.516,"Double Linear"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.86,"Double Log"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.862,"Double Linear"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.069,"Double Log"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.026,"Double Linear"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.012,"Double Log"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.004,"Double Linear"
"Entire Dataset 839","Width vs. Height",0.279,"Double Log"
"Entire Dataset 839","Width vs. Height",0.201,"Double Linear"
"Entire Dataset 839","Width vs. Diameter",0.558,"Double Log"
"Entire Dataset 839","Width vs. Diameter",0.418,"Double Linear"
"Entire Dataset 839","Width vs. Thickness",0.009,"Double Log"
"Entire Dataset 839","Width vs. Thickness",0.031,"Double Linear"
"Entire Dataset 839","Height vs. Diameter",0.738,"Double Log"
"Entire Dataset 839","Height vs. Diameter",0.758,"Double Linear"
"Entire Dataset 839","Height vs. Thickness",0.106,"Double Log"
"Entire Dataset 839","Height vs. Thickness",0.119,"Double Linear"
"Entire Dataset 839","Diameter vs. Thickness",0.003,"Double Log"
"Entire Dataset 839","Diameter vs. Thickness",0.015,"Double Linear"
"Entire Dataset 845","Width vs. Fresh Weight",0.715,"Double Log"
"Entire Dataset 845","Width vs. Fresh Weight",0.691,"Double Linear"
"Entire Dataset 845","Height vs. Fresh Weight",0.757,"Double Log"
"Entire Dataset 845","Height vs. Fresh Weight",0.777,"Double Linear"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.875,"Double Log"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.874,"Double Linear"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.159,"Double Log"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.134,"Double Linear"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.066,"Double Log"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.07,"Double Linear"
"Entire Dataset 845","Width vs. Height",0.557,"Double Log"
"Entire Dataset 845","Width vs. Height",0.576,"Double Linear"
"Entire Dataset 845","Width vs. Diameter",0.703,"Double Log"
"Entire Dataset 845","Width vs. Diameter",0.705,"Double Linear"
"Entire Dataset 845","Width vs. Thickness",0.01,"Double Log"
"Entire Dataset 845","Width vs. Thickness",0.014,"Double Linear"
"Entire Dataset 845","Height vs. Diameter",0.929,"Double Log"
"Entire Dataset 845","Height vs. Diameter",0.94,"Double Linear"
"Entire Dataset 845","Height vs. Thickness",0.029,"Double Log"
"Entire Dataset 845","Height vs. Thickness",0.019,"Double Linear"
"Entire Dataset 845","Diameter vs. Thickness",0.03,"Double Log"
"Entire Dataset 845","Diameter vs. Thickness",0.024,"Double Linear"
"Entire Dataset 854","Width vs. Fresh Weight",0.689,"Double Log"
"Entire Dataset 854","Width vs. Fresh Weight",0.677,"Double Linear"
"Entire Dataset 854","Height vs. Fresh Weight",0.244,"Double Log"
"Entire Dataset 854","Height vs. Fresh Weight",0.218,"Double Linear"
"Entire Dataset 854","Diameter vs. Fresh Weight",0.113,"Double Log"
"Entire Dataset 854","Diameter vs. Fresh Weight",0.199,"Double Linear"
"Entire Dataset 854","Thickness vs. Fresh Weight",0.196,"Double Log"
"Entire Dataset 854","Thickness vs. Fresh Weight",0.172,"Double Linear"
"Entire Dataset 854","Diameter / Width vs. Fresh Weight",0.062,"Double Log"
"Entire Dataset 854","Diameter / Width vs. Fresh Weight",0.075,"Double Linear"
"Entire Dataset 854","Width vs. Height",0.26,"Double Log"
"Entire Dataset 854","Width vs. Height",0.25,"Double Linear"
"Entire Dataset 854","Width vs. Diameter",0.265,"Double Log"
"Entire Dataset 854","Width vs. Diameter",0.366,"Double Linear"
"Entire Dataset 854","Width vs. Thickness",0.03,"Double Log"
"Entire Dataset 854","Width vs. Thickness",0.027,"Double Linear"
"Entire Dataset 854","Height vs. Diameter",0.031,"Double Log"
"Entire Dataset 854","Height vs. Diameter",0.083,"Double Linear"
"Entire Dataset 854","Height vs. Thickness",0.079,"Double Log"
"Entire Dataset 854","Height vs. Thickness",0.077,"Double Linear"
"Entire Dataset 854","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 854","Diameter vs. Thickness",0,"Double Linear"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.52,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.513,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.383,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.35,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.408,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.467,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.411,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.368,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.027,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.022,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.024,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.018,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.121,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.152,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.074,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.05,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.45,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.542,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.067,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.07,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.076,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.089,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.343,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.526,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.538,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.501,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.727,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.655,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.306,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.446,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.033,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.005,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.097,"Double Log"
"Entire Dataset 242","Width vs. Height",0.15,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.097,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.182,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.173,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.242,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.816,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.887,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.047,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.069,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.12,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.135,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.518,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.543,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.371,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.354,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.643,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.635,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.101,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.064,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.03,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.048,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.05,"Double Log"
"Entire Dataset 246","Width vs. Height",0.055,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.218,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.24,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0.002,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.874,"Double Linear"
"Entire Dataset 246","Height vs. Thickness",0.004,"Double Log"
"Entire Dataset 246","Height vs. Thickness",0.006,"Double Linear"
"Entire Dataset 246","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 246","Diameter vs. Thickness",0.001,"Double Linear"
"Entire Dataset 319","Width vs. Fresh Weight",0.589,"Double Log"
"Entire Dataset 319","Width vs. Fresh Weight",0.532,"Double Linear"
"Entire Dataset 319","Height vs. Fresh Weight",0.125,"Double Log"
